UserName,GameName,Score,Timestamp
undefined,Doodle Jump,7,2024-10-21T10:44:39.761Z
undefined,Doodle Jump,13,2024-10-21T10:44:39.761Z
undefined,Doodle Jump,2,2024-10-21T10:44:39.761Z
undefined,Doodle Jump,0,2024-10-21T10:44:39.761Z
undefined,Doodle Jump,4,2024-10-21T10:44:39.761Z
undefined,Doodle Jump,2,2024-10-21T10:44:39.761Z
null,Doodle Jump,16,2024-10-21T10:44:39.761Z
null,Doodle Jump,8,2024-10-21T10:44:39.761Z
null,Doodle Jump,6,2024-10-21T10:44:39.761Z
null,Doodle Jump,0,2024-10-21T10:44:39.761Z
null,Doodle Jump,7,2024-10-21T10:44:39.761Z
null,Doodle Jump,8,2024-10-21T10:44:39.761Z
undefined,undefined,10,2024-10-21T10:44:39.761Z
undefined,undefined,10,2024-10-21T10:44:39.761Z
null,Frogger,10,2024-10-21T10:44:39.761Z
null,Blocks,32,2024-10-21T10:44:39.761Z
null,Match,1,2024-10-21T10:44:39.761Z
null,Image Puzzle,7,2024-10-21T10:44:39.761Z
null,Flag Quiz,29,2024-10-21T10:44:39.761Z
null,Doodle Jump,3,2024-10-21T10:44:39.761Z
savvygaikwad,Game1,100,2024-10-21T10:44:39.761Z
null,Doodle Jump,1,2024-10-21T10:44:39.761Z
null,Doodle Jump,6,2024-10-21T10:44:39.761Z
null,Doodle Jump,0,2024-10-21T10:44:39.761Z
null,Doodle Jump,0,2024-10-21T10:44:39.761Z
null,Doodle Jump,8,2024-10-21T10:44:39.761Z
null,Doodle Jump,4,2024-10-21T10:44:39.761Z
null,Doodle Jump,4,2024-10-21T10:44:39.761Z
null,Doodle Jump,9,2024-10-21T10:44:39.761Z
null,Doodle Jump,3,2024-10-21T10:44:39.761Z
null,Doodle Jump,11,2024-10-21T10:44:39.761Z
null,Doodle Jump,4,2024-10-21T10:44:39.761Z
savvygaikwad,null,null,2024-10-21T10:44:39.761Z
null,Doodle Jump,13,2024-10-21T10:44:39.761Z
null,Doodle Jump,9,2024-10-21T10:44:39.761Z
null,Doodle Jump,1,2024-10-21T10:44:39.761Z
null,Doodle Jump,1,2024-10-21T10:44:39.761Z
null,Doodle Jump,7,2024-10-21T10:44:39.761Z
null,Doodle Jump,8,2024-10-21T10:44:39.761Z
null,Doodle Jump,16,2024-10-21T10:44:39.761Z
null,Doodle Jump,16,2024-10-21T10:44:39.761Z
null,Doodle Jump,23,2024-10-21T10:44:39.761Z
null,Doodle Jump,23,2024-10-21T10:44:39.761Z